transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,season,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,name,threat,position,ict_index,team_h_score,penalties_saved
-30,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,43,12637,41,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,30,38,Marvelous Nakamba,0.0,MID,0.0,2,0
136,Brighton,0,0,1,0,0,2023-05-28T15:30:00Z,0,0.02,1,3.4,0,0,4264,1.0,2022-23,0.25,13.6,0,57,85436,42,0,true,8,21,0,0,Aston Villa,372,0.09,0.34,4128,38,Emiliano Buendía,2.0,MID,1.9,2,0
4856,Brighton,0,0,1,0,1,2023-05-28T15:30:00Z,0,1.49,1,4.6,0,0,6084,1.0,2022-23,0.00,0.3,1,46,357618,43,0,true,4,90,0,1,Aston Villa,372,0.00,0.00,1228,38,Matty Cash,0.0,DEF,0.5,2,0
3053,Brighton,0,0,2,0,1,2023-05-28T15:30:00Z,0,1.49,1,8.0,0,0,7436,2.0,2022-23,0.00,0.1,1,44,120089,44,0,true,15,90,0,0,Aston Villa,372,0.00,0.00,4383,38,Ezri Konsa Ngoyo,0.0,DEF,0.8,2,0
4368,Brighton,0,0,2,0,1,2023-05-28T15:30:00Z,0,1.47,1,5.4,0,0,7604,2.0,2022-23,0.67,13.7,1,43,312028,45,0,true,13,68,0,0,Aston Villa,372,0.14,0.81,3236,38,Leon Bailey,8.0,MID,2.7,2,0
29766,Brighton,0,0,7,0,1,2023-05-28T15:30:00Z,0,1.49,1,36.8,0,0,33274,7.0,2022-23,0.02,13.2,1,48,120200,46,1,true,21,90,0,0,Aston Villa,372,0.23,0.25,3508,38,Douglas Luiz,19.0,MID,6.9,2,0
38383,Brighton,0,2,9,0,1,2023-05-28T15:30:00Z,0,1.49,1,46.2,0,2,42525,9.0,2022-23,0.62,41.1,1,51,175360,47,0,true,26,90,0,1,Aston Villa,372,1.18,1.80,4142,38,Jacob Ramsey,32.0,MID,11.9,2,0
-1,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,45,1826,49,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,1,38,Tim Iroegbunam,0.0,MID,0.0,2,0
-81,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,310,0.0,2022-23,0.00,0.0,0,47,26099,50,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,391,38,Diego Carlos,0.0,DEF,0.0,2,0
-3,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,48,3285,51,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,3,38,Anwar El Ghazi,0.0,MID,0.0,2,0
-2,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,54,3894,52,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,2,38,Keinan Davis,0.0,FWD,0.0,2,0
49,Brighton,0,0,2,0,1,2023-05-28T15:30:00Z,0,1.49,1,12.4,0,0,71,2.0,2022-23,0.03,1.3,1,48,9907,53,0,true,14,90,0,0,Aston Villa,372,0.00,0.03,22,38,Boubacar Kamara,4.0,MID,1.8,2,0
-730,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,42,195744,54,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,730,38,Cameron Archer,0.0,FWD,0.0,2,0
-1,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,45,214,55,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,1,38,Jaden Philogene-Bidace,0.0,MID,0.0,2,0
-310,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,39,65705,56,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,310,38,Frédéric Guilbert,0.0,DEF,0.0,2,0
22,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,55,0.0,2022-23,0.00,0.0,0,47,7386,479,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,33,38,Leander Dendoncker,0.0,MID,0.0,2,0
-5,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,43,4325,525,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,5,38,Ludwig Augustinsson,0.0,DEF,0.0,2,0
-12,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,40,4839,537,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,12,38,Kaine Kesler Hayden,0.0,DEF,0.0,2,0
-1146,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,1522,0.0,2022-23,0.00,0.0,0,43,96712,538,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,2668,38,Ashley Young,0.0,DEF,0.0,2,0
-16,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,40,4104,638,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,16,38,Lamare Bogarde,0.0,DEF,0.0,2,0
-5,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,40,560,670,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,5,38,Filip Marschall,0.0,GK,0.0,2,0
