name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,web_name
Lucas Tolentino Coelho de Lima,MID,West Ham,1.8,0,0,19,1,15.8,603,0.14,0.28,0.13,0.37,250,0,0,3.5,9.8,2023-02-25T15:00:00Z,82,0,0,0,0,25,0,56480,1,0,4,9.0,3,-4814,122,4936,59,True,0,Nott'm Forest,Paquetá
Jean-Philippe Mateta,FWD,Crystal Palace,1.3,0,0,-7,1,1.9,168,0.0,0.43,0.42,0.74,242,0,0,0.6,0.0,2023-02-25T19:45:00Z,70,0,0,0,0,25,0,40085,1,0,0,10.0,2,176,1701,1525,51,True,0,Liverpool,Mateta
Salomón Rondón,FWD,Everton,0.0,0,0,0,0,0.0,177,0.0,0.0,0.0,0.0,243,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,40106,0,2,0,0.0,0,-502,0,502,49,True,0,Aston Villa,Rondón
Salomón Rondón,FWD,Everton,0.0,0,0,0,0,0.0,177,0.0,0.0,0.0,0.0,61,0,0,0.0,0.0,2023-03-01T19:45:00Z,0,0,0,0,0,25,0,40106,0,0,4,0.0,0,-502,0,502,49,False,0,Arsenal,Rondón
Liam Cooper,DEF,Leeds,0.9,0,0,0,0,0.0,221,0.0,0.0,0.0,0.0,245,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,6366,0,0,1,0.0,0,-318,49,367,44,True,0,Southampton,Cooper
Ben Doak,MID,Liverpool,1.0,0,0,0,0,0.0,665,0.0,0.0,0.0,0.0,242,0,0,0.0,0.0,2023-02-25T19:45:00Z,0,0,0,0,0,25,0,397,0,0,0,0.0,0,-30,33,63,45,False,0,Crystal Palace,Doak
Ben Doak,MID,Liverpool,1.0,0,0,0,0,0.0,665,0.0,0.0,0.0,0.0,67,0,0,0.0,0.0,2023-03-01T20:00:00Z,0,0,0,0,0,25,0,397,0,0,2,0.0,0,-30,33,63,45,True,0,Wolves,Doak
Arnaut Danjuma,MID,Spurs,0.2,0,0,0,0,0.0,713,0.0,0.0,0.0,0.0,249,0,0,0.0,0.0,2023-02-26T13:30:00Z,0,0,0,0,0,25,0,3337,0,0,2,0.0,0,-247,469,716,64,True,0,Chelsea,Danjuma
Erling Haaland,FWD,Man City,6.3,1,1,40,1,3.2,318,0.01,0.57,0.55,1.16,241,0,1,8.6,37.6,2023-02-25T17:30:00Z,71,0,0,0,0,25,0,9520984,1,4,1,45.0,10,-38087,18665,56752,122,False,0,Bournemouth,Haaland
Oliwier Zych,GK,Aston Villa,0.0,0,0,0,0,0.0,745,0.0,0.0,0.0,0.0,243,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,451,0,2,0,0.0,0,122,179,57,40,False,0,Everton,Zych
Euan Pollock,FWD,Bournemouth,-1.5,0,0,0,0,0.0,706,0.0,0.0,0.0,0.0,241,0,0,0.0,0.0,2023-02-25T17:30:00Z,0,0,0,0,0,25,0,1107,0,4,1,0.0,0,112,278,166,45,True,0,Man City,Pollock
Sasa Lukic,MID,Fulham,0.5,0,0,6,0,1.9,726,0.02,0.05,0.03,0.35,244,0,0,1.3,6.8,2023-02-24T20:00:00Z,45,0,0,0,0,25,0,340,0,1,1,4.0,1,1,62,61,45,True,0,Wolves,Lukic
Lewis Cook,MID,Bournemouth,0.0,0,0,0,0,0.0,67,0.0,0.0,0.0,0.0,241,0,0,0.0,0.0,2023-02-25T17:30:00Z,0,0,0,0,0,25,0,6188,0,4,1,0.0,0,-189,31,220,49,True,0,Man City,Cook
Remi Matthews,GK,Crystal Palace,0.0,0,0,0,0,0.0,495,0.0,0.0,0.0,0.0,242,0,0,0.0,0.0,2023-02-25T19:45:00Z,0,0,0,0,0,25,0,1945,0,0,0,0.0,0,-35,0,35,40,True,0,Liverpool,Matthews
