name,transfers_balance,opponent_team,bonus,own_goals,clean_sheets,goals_conceded,total_points,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,expected_assists,creativity,starts,value,selected,element,goals_scored,bps,was_home,minutes,penalties_missed,yellow_cards,team,expected_goal_involvements,expected_goals,fixture,transfers_out,round,position,threat,ict_index,penalties_saved,team_h_score
Emiliano Marcondes,-5,Spurs,0,0,0,0,0,2023-04-15T14:15:00Z,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0,47,1695,63,0,0,False,0,0,0,Bournemouth,0.0,0.0,308,5,31,MID,0,0.0,0,2
Jefferson Lerma,-159,Spurs,0,0,0,2,2,2023-04-15T14:15:00Z,0,2.04,3,9.8,0,0,155,1.3,0.01,1.8,1,47,43600,64,0,10,False,90,0,0,Bournemouth,0.0,0.06,308,314,31,MID,10,2.2,0,2
Jack Stacey,-19,Spurs,0,0,0,0,0,2023-04-15T14:15:00Z,0,0.0,3,0.0,0,0,13,-0.5,0.0,0.0,0,43,4645,65,0,0,False,0,0,0,Bournemouth,0.0,0.0,308,32,31,DEF,0,0.0,0,2
Dominic Solanke,-4710,Spurs,3,0,0,2,15,2023-04-15T14:15:00Z,0,2.04,3,70.2,0,2,9875,5.5,0.27,27.2,1,55,232356,66,1,51,False,90,0,0,Bournemouth,0.0,0.15,308,14585,31,FWD,19,11.6,0,2
Lewis Cook,-12,Spurs,0,0,0,0,0,2023-04-15T14:15:00Z,0,0.0,3,0.0,0,0,33,-0.3,0.0,0.0,0,49,6162,67,0,0,False,0,0,0,Bournemouth,0.0,0.0,308,45,31,MID,0,0.0,0,2
Ben Pearson,-58,Spurs,0,0,0,0,0,2023-04-15T14:15:00Z,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0,44,14533,68,0,0,False,0,0,0,Bournemouth,0.0,0.0,308,58,31,MID,0,0.0,0,2
Ryan Christie,-17,Spurs,0,0,0,1,1,2023-04-15T14:15:00Z,0,1.24,3,3.8,0,0,44,1.3,0.02,22.6,1,53,5529,69,0,3,False,65,0,1,Bournemouth,0.0,0.1,308,61,31,MID,12,3.8,0,2
Philip Billing,16147,Spurs,0,0,0,1,2,2023-04-15T14:15:00Z,0,1.74,3,4.0,0,0,24708,3.1,0.02,4.3,1,52,158892,70,0,11,False,78,0,0,Bournemouth,0.0,0.0,308,8561,31,MID,2,1.0,0,2
Chris Mepham,204,Spurs,0,0,0,2,1,2023-04-15T14:15:00Z,0,2.04,3,33.6,0,0,308,1.3,0.0,1.0,1,43,11420,71,0,19,False,90,0,0,Bournemouth,0.0,0.0,308,104,31,DEF,0,3.5,0,2
Mark Travers,-217,Spurs,0,0,0,0,0,2023-04-15T14:15:00Z,0,0.0,3,0.0,0,0,324,-0.5,0.0,0.0,0,42,40971,72,0,0,False,0,0,0,Bournemouth,0.0,0.0,308,541,31,GK,0,0.0,0,2
Lloyd Kelly,-20,Spurs,0,0,0,2,1,2023-04-15T14:15:00Z,0,2.04,3,24.8,0,0,229,1.5,0.0,11.4,1,43,54248,73,0,17,False,90,0,0,Bournemouth,0.0,0.0,308,249,31,DEF,0,3.6,0,2
Siriki Dembélé,-28,Spurs,0,0,0,0,0,2023-04-15T14:15:00Z,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0,47,7304,74,0,0,False,0,0,0,Bournemouth,0.0,0.0,308,28,31,MID,0,0.0,0,2
Jaidon Anthony,-165,Spurs,0,0,0,1,1,2023-04-15T14:15:00Z,0,0.8,3,6.0,0,0,71,0.1,0.0,0.2,0,52,8542,75,0,5,False,24,0,0,Bournemouth,0.0,0.08,308,236,31,MID,17,2.3,0,2
Jordan Zemura,-258,Spurs,0,0,0,0,0,2023-04-15T14:15:00Z,0,0.0,3,0.0,0,0,55,-0.5,0.0,0.0,0,43,14236,76,0,0,False,0,0,0,Bournemouth,0.0,0.0,308,313,31,DEF,0,0.0,0,2
Will Dennis,-449,Spurs,0,0,0,0,0,2023-04-15T14:15:00Z,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0,39,43592,77,0,0,False,0,0,0,Bournemouth,0.0,0.0,308,449,31,GK,0,0.0,0,2
Jack Stephens,-22,Spurs,0,0,0,2,0,2023-04-15T14:15:00Z,0,2.04,3,25.0,0,0,136,1.3,0.0,0.3,1,43,5895,404,0,12,False,90,0,1,Bournemouth,0.0,0.0,308,158,31,DEF,0,2.5,0,2
Joe Rothwell,-22,Spurs,0,0,0,2,2,2023-04-15T14:15:00Z,0,2.04,3,12.2,0,0,7,0.5,0.02,6.1,1,49,811,505,0,15,False,90,0,0,Bournemouth,0.0,0.0,308,29,31,MID,0,1.8,0,2
Marcus Tavernier,-4,Spurs,0,0,0,1,2,2023-04-15T14:15:00Z,0,1.74,3,25.4,0,0,779,1.7,0.04,6.2,1,47,20572,535,0,11,False,78,0,0,Bournemouth,0.0,0.12,308,783,31,MID,18,5.0,0,2
James Hill,-11,Spurs,0,0,0,0,0,2023-04-15T14:15:00Z,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0,44,3819,539,0,0,False,0,0,0,Bournemouth,0.0,0.0,308,11,31,DEF,0,0.0,0,2
