transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,name,threat,position,ict_index,team_h_score,penalties_saved
7094,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,52003,5.0,0.00,0.0,0,56,397119,66,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,44909,33,Dominic Solanke,0.0,FWD,0.0,null,0
-4,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,22,0.3,0.00,0.0,0,49,6183,67,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,26,33,Lewis Cook,0.0,MID,0.0,null,0
-37,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,0,0.0,0.00,0.0,0,44,14459,68,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,37,33,Ben Pearson,0.0,MID,0.0,null,0
-27,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,38,1.8,0.00,0.0,0,53,5603,69,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,65,33,Ryan Christie,0.0,MID,0.0,null,0
-19555,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,5605,3.2,0.00,0.0,0,52,164313,70,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,25160,33,Philip Billing,0.0,MID,0.0,null,0
21,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,222,1.5,0.00,0.0,0,43,11726,71,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,201,33,Chris Mepham,0.0,DEF,0.0,null,0
-162,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,266,0.0,0.00,0.0,0,42,40740,72,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,428,33,Mark Travers,0.0,GK,0.0,null,0
-42,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,274,1.7,0.00,0.0,0,43,54881,73,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,316,33,Lloyd Kelly,0.0,DEF,0.0,null,0
-17,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,0,0.0,0.00,0.0,0,47,7265,74,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,17,33,Siriki Dembélé,0.0,MID,0.0,null,0
-74,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,35,0.5,0.00,0.0,0,52,8491,75,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,109,33,Jaidon Anthony,0.0,MID,0.0,null,0
-78,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,64,0.0,0.00,0.0,0,43,13991,76,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,142,33,Jordan Zemura,0.0,DEF,0.0,null,0
-454,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,0,0.0,0.00,0.0,0,39,42736,77,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,454,33,Will Dennis,0.0,GK,0.0,null,0
-282,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,14,0.0,0.00,0.0,0,43,5769,404,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,296,33,Jack Stephens,0.0,DEF,0.0,null,0
-3,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,12,0.8,0.00,0.0,0,49,825,505,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,15,33,Joe Rothwell,0.0,MID,0.0,null,0
-135,Southampton,0,0,0,0,0,2023-04-27T18:45:00Z,0,0.00,null,0.0,0,0,824,2.2,0.00,0.0,0,47,22534,535,0,false,0,0,0,0,Bournemouth,330,0.00,0.00,959,33,Marcus Tavernier,0.0,MID,0.0,null,0
