name,transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,threat,position,ict_index,team_h_score,penalties_saved,season
Junior Stanislas,-37,West Ham,0,0,0,0,0,2023-04-23T13:00:00Z,0,0.0,4,0.0,0,0,3,0.0,0.0,0.0,0,48,2182,58,0,True,0,0,0,0,Bournemouth,312,0.0,0.0,40,32,0.0,MID,0.0,0,0,2022-23
Ryan Fredericks,-28,West Ham,0,0,0,0,0,2023-04-23T13:00:00Z,0,0.0,4,0.0,0,0,9,0.0,0.0,0.0,0,44,2722,59,0,True,0,0,0,0,Bournemouth,312,0.0,0.0,37,32,0.0,DEF,0.0,0,0,2022-23
David Brooks,35,West Ham,0,0,0,0,0,2023-04-23T13:00:00Z,0,0.0,4,0.0,0,0,80,-0.3,0.0,0.0,0,53,1501,60,0,True,0,0,0,0,Bournemouth,312,0.0,0.0,45,32,0.0,MID,0.0,0,0,2022-23
Jamal Lowe,-6,West Ham,0,0,0,0,0,2023-04-23T13:00:00Z,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0,52,2630,61,0,True,0,0,0,0,Bournemouth,312,0.0,0.0,6,32,0.0,MID,0.0,0,0,2022-23
Kieffer Moore,-1280,West Ham,0,0,0,0,1,2023-04-23T13:00:00Z,0,1.23,4,0.0,0,0,1105,-0.5,0.04,4.0,0,49,85221,62,0,True,-8,45,0,1,Bournemouth,312,0.34,0.38,2385,32,19.0,FWD,2.1,0,0,2022-23
Emiliano Marcondes,-3,West Ham,0,0,0,0,0,2023-04-23T13:00:00Z,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0,47,1691,63,0,True,0,0,0,0,Bournemouth,312,0.0,0.0,3,32,0.0,MID,0.0,0,0,2022-23
Jefferson Lerma,26,West Ham,0,0,2,0,4,2023-04-23T13:00:00Z,0,2.16,4,19.6,0,0,240,1.5,0.09,21.3,1,47,43699,64,0,True,15,74,0,0,Bournemouth,312,0.05,0.14,214,32,7.0,MID,4.8,0,0,2022-23
Jack Stacey,-10,West Ham,0,0,0,0,0,2023-04-23T13:00:00Z,0,0.0,4,0.0,0,0,24,-0.5,0.0,0.0,0,43,4657,65,0,True,0,0,0,0,Bournemouth,312,0.0,0.0,34,32,0.0,DEF,0.0,0,0,2022-23
Dominic Solanke,158209,West Ham,0,0,2,0,4,2023-04-23T13:00:00Z,0,2.34,4,11.6,0,0,164519,5.5,0.05,17.0,1,56,513750,66,0,True,5,90,0,0,Bournemouth,312,0.32,0.37,6310,32,51.0,FWD,8.0,0,0,2022-23
Lewis Cook,10,West Ham,0,0,1,0,0,2023-04-23T13:00:00Z,0,0.18,4,3.0,0,0,69,-0.1,0.01,0.6,0,49,6199,67,0,True,3,15,0,0,Bournemouth,312,0.0,0.01,59,32,0.0,MID,0.4,0,0,2022-23
Ben Pearson,-43,West Ham,0,0,0,0,0,2023-04-23T13:00:00Z,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0,44,14492,68,0,True,0,0,0,0,Bournemouth,312,0.0,0.0,43,32,0.0,MID,0.0,0,0,2022-23
