name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,season
Maxwel Cornet,MID,West Ham,0.8,0,0,2,0,0.8,575,0.01,0.01,0,0,335,0,0,0.1,0,2023-04-29T11:30:00Z,1,Crystal Palace,0,0,0,0,34,0,6431,0,3,4,0,1,67,236,169,59,FALSE,0,2022-23
Maxwel Cornet,MID,West Ham,0.8,0,0,0,0,0,575,0,0,0,0,277,0,0,0,0,2023-05-03T19:00:00Z,0,Man City,0,0,0,0,34,0,6431,0,0,3,0,0,67,236,169,59,FALSE,0,2022-23
Luis Sinisterra,MID,Leeds,0,0,0,0,0,0,508,0,0,0,0,332,0,0,0,0,2023-04-30T13:00:00Z,0,Bournemouth,0,0,0,0,34,0,30777,0,1,4,0,0,-3991,334,4325,65,FALSE,0,2022-23
Nathaniel Clyne,DEF,Crystal Palace,0.1,0,0,0,0,0,157,0,0,0,0,335,0,0,0,0,2023-04-29T11:30:00Z,0,West Ham,0,0,0,0,34,0,15823,0,3,4,0,0,-299,31,330,45,TRUE,0,2022-23
Stuart Armstrong,MID,Southampton,0.8,0,0,24,0,1.8,405,0.02,0.71,0.69,2.8,340,1,1,9.3,41.2,2023-04-30T13:00:00Z,70,Newcastle,0,0,0,0,34,0,7259,1,1,3,50,6,-41,38,79,47,FALSE,1,2022-23
Oriol Romeu,MID,Southampton,0,0,0,0,0,0,402,0,0,0,0,340,0,0,0,0,2023-04-30T13:00:00Z,0,Newcastle,0,0,0,0,34,0,3245,0,1,3,0,0,0,0,0,48,FALSE,0,2022-23
Tyler Roberts,MID,Leeds,0,0,0,0,0,0,229,0,0,0,0,332,0,0,0,0,2023-04-30T13:00:00Z,0,Bournemouth,0,0,0,0,34,0,62,0,1,4,0,0,0,0,0,50,FALSE,0,2022-23
Lamare Bogarde,DEF,Aston Villa,0,0,0,0,0,0,638,0,0,0,0,339,0,0,0,0,2023-04-30T13:00:00Z,0,Man Utd,0,0,0,0,34,0,4185,0,0,1,0,0,-23,0,23,40,FALSE,0,2022-23
Harrison Ashby,DEF,Newcastle,1,0,0,0,0,0,555,0,0,0,0,340,0,0,0,0,2023-04-30T13:00:00Z,0,Southampton,0,0,0,0,34,0,76805,0,1,3,0,0,172,2496,2324,38,TRUE,0,2022-23
Lewis Brunt,DEF,Leicester,0,0,0,0,0,0,273,0,0,0,0,337,0,0,0,0,2023-05-01T19:00:00Z,0,Everton,0,0,0,0,34,0,35469,0,2,2,0,0,6,308,302,39,TRUE,0,2022-23
Matt Ritchie,DEF,Newcastle,1.3,0,0,3,0,0.8,350,0,0,0,0,340,0,0,0.1,0.2,2023-04-30T13:00:00Z,1,Southampton,0,0,0,0,34,0,6627,0,1,3,0,1,-4,75,79,42,TRUE,0,2022-23
Jannik Vestergaard,DEF,Leicester,0,0,0,0,0,0,253,0,0,0,0,337,0,0,0,0,2023-05-01T19:00:00Z,0,Everton,0,0,0,0,34,0,582339,0,2,2,0,0,-7676,4323,11999,38,TRUE,0,2022-23
Enock Mwepu,MID,Brighton,0,0,0,0,0,0,118,0,0,0,0,334,0,0,0,0,2023-04-29T14:00:00Z,0,Wolves,0,0,0,0,34,0,5192,0,0,6,0,0,-3,0,3,53,TRUE,0,2022-23
Enock Mwepu,MID,Brighton,0,0,0,0,0,0,118,0,0,0,0,274,0,0,0,0,2023-05-04T19:00:00Z,0,Man Utd,0,0,0,0,34,0,5192,0,0,1,0,0,-3,0,3,53,TRUE,0,2022-23
Trevoh Chalobah,DEF,Chelsea,0.3,0,0,3,0,0,141,0,0,0,0.04,331,0,0,0,0.4,2023-05-02T19:00:00Z,4,Arsenal,0,0,0,0,34,0,51112,0,1,3,0,1,-175,424,599,44,FALSE,0,2022-23
Chris Richards,DEF,Crystal Palace,0.2,0,0,0,0,0,530,0,0,0,0,335,0,0,0,0,2023-04-29T11:30:00Z,0,West Ham,0,0,0,0,34,0,5929,0,3,4,0,0,43,108,65,44,TRUE,0,2022-23
Cameron Plain,GK,Bournemouth,-0.5,0,0,0,0,0,649,0,0,0,0,332,0,0,0,0,2023-04-30T13:00:00Z,0,Leeds,0,0,0,0,34,0,1889,0,1,4,0,0,50,87,37,40,TRUE,0,2022-23
Diogo Jota,FWD,Liverpool,10.1,0,0,24,0,2.1,288,0,0.39,0.39,0.75,338,2,1,5.4,28,2023-04-30T15:30:00Z,27,Spurs,0,0,0,0,34,0,660167,0,3,4,24,4,175370,254283,78913,89,TRUE,1,2022-23
