name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,season
Allan,MID,Everton,0.0,0,0,0,0,0.0,183,0.0,0.0,0.0,0.0,96,0,0,0.0,0.0,2022-10-09T18:00:00Z,0,0,0,0,0,10,0,8156,0,2,1,0.0,0,-1027,0,1027,48,True,0,Man Utd,2022-23
Ibrahima Konaté,DEF,Liverpool,1.0,0,0,2,0,0.5,290,0.0,0.0,0.0,0.0,91,1,0,0.1,0.8,2022-10-09T15:30:00Z,21,0,0,0,0,10,0,21965,0,2,3,0.0,1,1137,1837,700,48,False,0,Arsenal,2022-23
Aleksandar Mitrović,FWD,Fulham,0.5,0,0,0,0,0.0,210,0.0,0.0,0.0,0.0,100,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,0,0,0,0,10,0,2588974,0,1,3,0.0,0,-804770,45453,850223,68,False,0,West Ham,2022-23
Christian Eriksen,MID,Man Utd,3.5,0,0,13,0,5.6,519,0.0,0.0,0.0,0.0,96,1,0,3.3,9.0,2022-10-09T18:00:00Z,82,0,0,0,0,10,0,363507,0,2,1,18.0,2,3363,29437,26074,63,False,0,Everton,2022-23
Joe Willock,MID,Newcastle,4.7,0,0,8,0,3.0,373,0.0,0.0,0.0,0.0,98,1,0,4.3,3.0,2022-10-08T14:00:00Z,90,0,0,0,0,10,0,83819,0,1,5,37.0,2,30502,36171,5669,49,True,0,Brentford,2022-23
Yerson Mosquera Valdelamar,DEF,Wolves,-0.5,0,0,0,0,0.0,494,0.0,0.0,0.0,0.0,94,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,133948,0,0,3,0.0,0,12154,18052,5898,39,False,0,Chelsea,2022-23
Roméo Lavia,MID,Southampton,0.0,0,0,0,0,0.0,321,0.0,0.0,0.0,0.0,97,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,33519,0,0,4,0.0,0,-3947,574,4521,45,False,0,Man City,2022-23
Kristoffer Ajer,DEF,Brentford,2.3,0,0,12,0,0.8,84,0.0,0.0,0.0,0.0,98,5,0,1.6,10.8,2022-10-08T14:00:00Z,90,0,0,0,0,10,0,8344,0,1,5,4.0,0,2376,3139,763,45,False,0,Newcastle,2022-23
Emmanuel Dennis,FWD,Nott'm Forest,2.8,0,2,23,0,11.8,585,0.0,0.0,0.0,0.0,99,1,1,6.4,33.4,2022-10-10T19:00:00Z,70,0,0,0,0,10,0,10565,0,1,1,19.0,8,-639,859,1498,58,True,0,Aston Villa,2022-23
Will Hughes,MID,Crystal Palace,1.0,0,0,5,0,0.0,163,0.0,0.0,0.0,0.0,95,0,0,0.2,2.0,2022-10-09T13:00:00Z,5,0,0,0,0,10,0,3181,0,1,2,0.0,1,-35,89,124,48,True,0,Leeds,2022-23
Joe Ayodele-Aribo,MID,Southampton,3.0,0,0,8,0,2.3,512,0.0,0.0,0.0,0.0,97,4,0,1.1,8.2,2022-10-08T14:00:00Z,78,0,0,0,0,10,0,51595,0,0,4,0.0,2,1489,5012,3523,54,False,0,Man City,2022-23
Orel Mangala,MID,Nott'm Forest,-0.2,0,0,0,0,0.0,536,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10T19:00:00Z,0,0,0,0,0,10,0,2285,0,1,1,0.0,0,-70,60,130,49,True,0,Aston Villa,2022-23
Luke Plange,FWD,Crystal Palace,0.0,0,0,0,0,0.0,496,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,0,0,0,0,10,0,40864,0,1,2,0.0,0,-3355,0,3355,45,True,0,Leeds,2022-23
Cristian Romero,DEF,Spurs,3.8,0,2,28,1,13.1,443,0.0,0.0,0.0,0.0,93,0,0,3.0,17.0,2022-10-08T16:30:00Z,90,0,0,0,0,10,0,147420,0,1,0,0.0,8,6222,12922,6700,49,False,0,Brighton,2022-23
