name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Dominic Thompson,DEF,Brentford,0.0,0,0,0,0,0.0,498,293,0,0,0.0,0.0,2022-03-20T14:00:00Z,0,0,0,0,0,30,0,3783,1,2,0.0,0,-23,0,23,44,False,0,Leicester
Liam McCarron,MID,Leeds,-0.5,0,0,0,0,0.0,576,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,0,0,0,0,30,0,1324,3,2,0.0,0,16,34,18,44,False,0,Wolves
Rúnar Alex Rúnarsson,GK,Arsenal,0.0,0,0,0,0,0.0,2,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,48837,1,0,0.0,0,-352,0,352,40,False,0,Aston Villa
Rui Patrício,GK,Wolves,0.0,0,0,0,0,0.0,427,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,0,0,0,0,30,0,1311,3,2,0.0,0,-3,0,3,50,True,0,Leeds
Benjamin Chrisene,MID,Aston Villa,-0.5,0,0,0,0,0.0,703,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,234,1,0,0.0,0,-5,23,28,45,True,0,Arsenal
Raphael Dias Belloli,MID,Leeds,1.9,0,0,0,0,0.0,196,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,0,0,0,0,30,0,1634582,3,2,0.0,0,57515,93275,35760,65,False,0,Wolves
Philippe Coutinho,MID,Aston Villa,4.8,0,0,11,0,23.3,681,291,1,0,4.6,13.8,2022-03-19T12:30:00Z,90,0,0,0,0,30,0,2520461,1,0,9.0,2,144178,170234,26056,75,True,0,Arsenal
Issa Diop,DEF,West Ham,0.4,0,0,0,0,0.0,424,298,0,0,0.0,0.0,2022-03-20T16:30:00Z,0,0,0,0,0,30,0,30108,1,3,0.0,0,-211,364,575,42,False,0,Spurs
Rúben Neves,MID,Wolves,4.8,0,0,4,0,1.3,436,300,0,0,0.6,0.0,2022-03-18T20:00:00Z,24,0,0,0,0,30,0,261831,3,2,8.0,1,75235,78681,3446,53,True,0,Leeds
Matthew Cox,GK,Brentford,-0.5,0,0,0,0,0.0,619,293,0,0,0.0,0.0,2022-03-20T14:00:00Z,0,0,0,0,0,30,0,7117,1,2,0.0,0,170,484,314,40,False,0,Leicester
Crysencio Summerville,MID,Leeds,-0.5,0,0,0,0,0.0,551,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,0,0,0,0,30,0,4288,3,2,0.0,0,-9,23,32,45,False,0,Wolves
Rico Henry,DEF,Brentford,1.7,0,0,12,0,15.8,83,293,2,0,2.5,9.6,2022-03-20T14:00:00Z,73,0,0,0,0,30,0,94397,1,2,0.0,1,1604,3119,1515,45,False,0,Leicester
Harry Winks,MID,Spurs,0.7,0,0,0,0,0.0,366,298,0,0,0.0,0.0,2022-03-20T16:30:00Z,0,0,0,0,0,30,0,99309,1,3,0.0,0,-1474,432,1906,44,True,0,West Ham
Harrison Ashby,DEF,West Ham,0.0,0,0,0,0,0.0,617,298,0,0,0.0,0.0,2022-03-20T16:30:00Z,0,0,0,0,0,30,0,4474,1,3,0.0,0,-11,54,65,40,False,0,Spurs
Frederik Alves,DEF,West Ham,0.0,0,0,0,0,0.0,521,298,0,0,0.0,0.0,2022-03-20T16:30:00Z,0,0,0,0,0,30,0,11569,1,3,0.0,0,-30,0,30,40,False,0,Spurs
Rodrigo Moreno,FWD,Leeds,2.2,0,0,22,0,15.8,187,300,2,1,9.5,31.8,2022-03-18T20:00:00Z,90,0,0,0,0,30,0,129446,3,2,47.0,5,851,8632,7781,62,False,1,Wolves
Cristian Romero,DEF,Spurs,3.7,0,0,15,0,12.5,494,298,1,0,3.6,23.8,2022-03-20T16:30:00Z,90,0,0,0,0,30,0,57481,1,3,0.0,2,10458,11691,1233,48,True,0,West Ham
Vontae Daley-Campbell,DEF,Leicester,0.0,0,0,0,0,0.0,639,293,0,0,0.0,0.0,2022-03-20T14:00:00Z,0,0,0,0,0,30,0,625,1,2,0.0,0,-8,0,8,40,True,0,Brentford
Tommi O'Reilly,MID,Aston Villa,-0.5,0,0,0,0,0.0,713,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,156,1,0,0.0,0,19,37,18,45,True,0,Arsenal
Saïd Benrahma,MID,West Ham,4.4,0,1,25,0,16.0,419,298,3,1,8.1,44.2,2022-03-20T16:30:00Z,90,0,0,0,0,30,0,1130645,1,3,21.0,8,49050,56308,7258,59,False,0,Spurs
Stuart McKinstry,MID,Leeds,-0.5,0,0,0,0,0.0,601,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,0,0,0,0,30,0,34708,3,2,0.0,0,-351,961,1312,43,False,0,Wolves
Salah-Eddine Oulad M'hand,MID,Arsenal,0.5,0,0,0,0,0.0,693,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,163,1,0,0.0,0,8,26,18,45,False,0,Aston Villa
Darren Randolph,GK,West Ham,0.0,0,0,0,0,0.0,407,298,0,0,0.0,0.0,2022-03-20T16:30:00Z,0,0,0,0,0,30,0,12264,1,3,0.0,0,114,203,89,43,False,0,Spurs
Mads Bech Sørensen,DEF,Brentford,-0.5,0,0,0,0,0.0,90,293,0,0,0.0,0.0,2022-03-20T14:00:00Z,0,0,0,0,0,30,0,4291,1,2,0.0,0,52,95,43,43,False,0,Leicester
Douglas Luiz Soares de Paulo,MID,Aston Villa,2.3,0,0,18,0,3.3,50,291,1,0,1.4,9.2,2022-03-19T12:30:00Z,90,0,0,0,0,30,0,155524,1,0,1.0,2,3036,6758,3722,44,True,0,Arsenal
Sergi Canós,MID,Brentford,1.3,0,0,0,0,0.0,81,293,0,0,0.0,0.0,2022-03-20T14:00:00Z,0,0,0,0,0,30,0,106315,1,2,0.0,0,296,1570,1274,55,False,0,Leicester
Patson Daka,FWD,Leicester,0.4,0,0,2,0,0.0,455,293,0,0,0.0,0.0,2022-03-20T14:00:00Z,4,0,0,0,0,30,0,141170,1,2,0.0,1,-2593,9847,12440,71,True,0,Brentford
Owen Otasowie,MID,Wolves,0.0,0,0,0,0,0.0,442,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,0,0,0,0,30,0,6754,3,2,0.0,0,-27,0,27,45,True,0,Leeds
Lukasz Fabianski,GK,West Ham,3.2,0,0,12,0,0.0,408,298,3,0,2.4,23.6,2022-03-20T16:30:00Z,90,0,0,0,0,30,2,267138,1,3,0.0,1,4408,8084,3676,50,False,0,Spurs
Mattéo Guendouzi,MID,Arsenal,0.0,0,0,0,0,0.0,25,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,95,1,0,0.0,0,0,0,0,45,False,0,Aston Villa
Shandon Baptiste,MID,Brentford,-0.1,0,0,5,0,22.0,499,293,0,0,5.0,7.8,2022-03-20T14:00:00Z,34,0,0,0,0,30,0,3647,1,2,20.0,1,-46,32,78,49,False,0,Leicester
James Justin,DEF,Leicester,1.1,0,0,19,0,14.1,218,293,1,0,7.8,19.0,2022-03-20T14:00:00Z,90,0,0,0,0,30,0,41637,1,2,45.0,2,6685,7139,454,49,True,0,Brentford
Conor Coventry,MID,West Ham,0.0,0,0,0,0,0.0,522,298,0,0,0.0,0.0,2022-03-20T16:30:00Z,0,0,0,0,0,30,0,3777,1,3,0.0,0,-11,0,11,45,False,0,Spurs
