name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP,season
Charlie Taylor,0,0,3,0,0.8,87,131,0,0,0.3,2.6,2019-11-30T15:00:00Z,35,0,0,0,0,14,0,71404,2,0,0.0,1,20452,23174,2722,42,True,0,Crystal Palace,Burnley,DEF,0,2019-20
Cheikhou Kouyaté,0,0,-2,1,2.3,139,131,0,0,1.5,2.8,2019-11-30T15:00:00Z,90,0,0,0,0,14,0,12354,2,0,10.0,3,-70,565,635,49,False,0,Burnley,Crystal Palace,MID,0,2019-20
Che Adams,0,0,0,0,0.0,437,138,0,0,0.0,0.0,2019-11-30T17:30:00Z,0,0,0,0,0,14,0,26059,1,2,0.0,0,-735,456,1191,54,True,0,Watford,Southampton,FWD,0,2019-20
Christian Atsu,1,0,13,0,10.3,267,136,1,0,2.7,17.0,2019-11-30T12:30:00Z,10,0,0,0,0,14,0,10063,2,2,0.0,4,-551,123,674,54,True,0,Man City,Newcastle,MID,0,2019-20
Christian Benteke,0,0,1,0,0.0,129,131,0,0,0.1,0.0,2019-11-30T15:00:00Z,8,0,0,0,0,14,0,41277,2,0,2.0,1,72,924,852,57,False,0,Burnley,Crystal Palace,FWD,0,2019-20
Christian Eriksen,0,0,0,0,0.0,343,139,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,213861,2,3,0.0,0,-7392,1980,9372,87,True,0,Bournemouth,Spurs,MID,0,2019-20
Christian Fuchs,0,0,0,0,0.0,163,133,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,0,0,0,0,14,0,24601,1,2,0.0,0,-637,259,896,43,True,0,Everton,Leicester,DEF,0,2019-20
Christian Kabasele,0,0,0,0,0.0,354,138,0,0,0.0,0.0,2019-11-30T17:30:00Z,0,0,0,0,0,14,0,12307,1,2,0.0,0,-397,321,718,43,False,0,Southampton,Watford,DEF,0,2019-20
Christian Pulisic,0,0,-1,0,29.3,431,132,1,0,7.7,2.6,2019-11-30T15:00:00Z,90,0,0,0,0,14,0,1089500,1,0,45.0,2,213243,239963,26720,75,True,0,West Ham,Chelsea,MID,0,2019-20
Christian Saydee,0,0,0,0,0.0,564,139,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,0,2,3,0.0,0,0,0,0,45,False,0,Spurs,Bournemouth,MID,0,2019-20
Christoph Zimmermann,0,0,13,0,0.1,275,137,2,0,1.5,15.0,2019-12-01T14:00:00Z,90,0,0,0,0,14,0,1237,2,2,0.0,1,202,236,34,44,True,0,Arsenal,Norwich,DEF,0,2019-20
