name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position
Leroy Sané,0,0,0,0,0.0,216,161,0,0,0.0,0.0,2019-12-15T16:30:00Z,0,0,0,0,0,17,0,16746,3,0,0.0,0,-104,73,177,93,False,0,Arsenal,Man City,MID
Toby Alderweireld,0,0,12,0,0.2,331,170,1,0,3.1,28.6,2019-12-15T14:00:00Z,90,0,0,0,0,17,0,402604,2,1,2.0,1,9300,18573,9273,54,False,1,Wolves,Spurs,DEF
Glenn Murray,0,0,0,0,0.0,44,164,0,0,0.0,0.0,2019-12-16T19:45:00Z,0,0,0,0,0,17,0,56609,1,1,0.0,0,-1280,525,1805,55,False,0,Crystal Palace,Brighton,FWD
Manuel Lanzini,0,0,0,0,0.0,391,169,0,0,0.0,0.0,2019-12-14T17:30:00Z,0,0,0,0,0,17,0,53813,1,0,0.0,0,-2382,36,2418,62,False,0,Southampton,West Ham,MID
Leighton Baines,1,0,17,0,2.3,145,167,1,0,1.3,9.8,2019-12-15T14:00:00Z,65,0,0,0,0,17,0,10441,1,1,1.0,5,43,306,263,49,False,0,Man Utd,Everton,DEF
Adam Lallana,0,0,0,0,0.0,195,166,0,0,0.0,0.0,2019-12-14T12:30:00Z,0,0,0,0,0,17,0,8554,0,2,0.0,0,-394,44,438,58,True,0,Watford,Liverpool,MID
Jay Rodriguez,0,0,3,0,1.5,451,162,0,0,0.4,2.0,2019-12-14T15:00:00Z,5,0,0,0,0,17,0,15412,0,1,0.0,1,-761,255,1016,57,True,0,Newcastle,Burnley,FWD
Archie Mair,0,0,0,0,0.0,551,165,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,0,0,0,0,17,0,3678,1,1,0.0,0,197,350,153,40,False,0,Leicester,Norwich,GK
Curtis Jones,0,0,0,0,0.0,569,166,0,0,0.0,0.0,2019-12-14T12:30:00Z,0,0,0,0,0,17,0,117,0,2,0.0,0,69,91,22,45,True,0,Watford,Liverpool,MID
Kurt Zouma,0,0,16,0,3.2,459,163,1,0,5.8,37.0,2019-12-14T15:00:00Z,90,0,0,0,0,17,0,143768,1,0,18.0,2,9511,15448,5937,47,True,0,Bournemouth,Chelsea,DEF
Joseph Gomez,0,2,30,1,1.6,184,166,0,0,2.6,24.8,2019-12-14T12:30:00Z,90,0,0,0,0,17,0,65462,0,2,0.0,8,11438,12573,1135,51,True,0,Watford,Liverpool,DEF
Oliver Skipp,0,0,0,0,0.0,352,170,0,0,0.0,0.0,2019-12-15T14:00:00Z,0,0,0,0,0,17,0,33245,2,1,0.0,0,-609,386,995,44,False,0,Wolves,Spurs,MID
Xherdan Shaqiri,0,0,7,1,3.3,194,166,0,0,0.7,0.0,2019-12-14T12:30:00Z,69,0,0,0,0,17,0,18455,0,2,4.0,3,176,940,764,63,True,0,Watford,Liverpool,MID
Nathan Aké,0,0,0,0,0.0,59,163,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,0,0,0,0,17,0,764484,1,0,0.0,0,-162803,1586,164389,50,False,0,Chelsea,Bournemouth,DEF
Max Kilman,0,0,0,0,0.0,408,170,0,0,0.0,0.0,2019-12-15T14:00:00Z,0,0,0,0,0,17,0,164970,2,1,0.0,0,1657,6608,4951,40,True,0,Spurs,Wolves,DEF
Etienne Capoue,0,0,7,0,11.9,373,166,2,0,3.0,11.6,2019-12-14T12:30:00Z,90,0,0,0,0,17,0,20556,0,2,6.0,2,-293,402,695,48,False,0,Liverpool,Watford,MID
Lukasz Fabianski,0,0,0,0,0.0,388,169,0,0,0.0,0.0,2019-12-14T17:30:00Z,0,0,0,0,0,17,0,147323,1,0,0.0,0,-4841,95,4936,49,False,0,Southampton,West Ham,GK
Rob Holding,0,0,0,0,0.0,10,161,0,0,0.0,0.0,2019-12-15T16:30:00Z,0,0,0,0,0,17,0,8427,3,0,0.0,0,-747,118,865,45,True,0,Man City,Arsenal,DEF
Dominic Solanke,0,0,2,0,0.3,69,163,0,0,5.0,0.2,2019-12-14T15:00:00Z,15,0,0,0,0,17,0,24739,1,0,49.0,1,-153,707,860,52,False,0,Chelsea,Bournemouth,FWD
Callum Robinson,0,0,0,0,0.0,453,168,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,0,0,0,0,17,0,22910,0,2,0.0,0,-1225,202,1427,51,True,0,Aston Villa,Sheffield Utd,MID
Yves Bissouma,0,0,14,0,4.0,53,164,1,0,4.0,13.8,2019-12-16T19:45:00Z,84,0,0,0,0,17,0,931,1,1,22.0,2,-10,37,47,50,False,0,Crystal Palace,Brighton,MID
Mark Noble,0,0,10,1,3.3,396,169,0,0,1.5,9.0,2019-12-14T17:30:00Z,87,0,0,0,0,17,0,39477,1,0,3.0,3,-1689,889,2578,50,False,0,Southampton,West Ham,MID
