name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Caoimhin_Kelleher_531,0,0,0,0,0,531,304,0,0,0,0,2020-06-24T19:15:00Z,0,0,0,0,0,31,0,2361,0,4,0,0,-43,25,68,44,TRUE,0,Crystal Palace
Carlos_Sánchez_397,0,0,0,0,0,397,309,0,0,0,0,2020-06-23T19:15:00Z,0,0,0,0,0,31,0,34612,0,2,0,0,-428,317,745,43,FALSE,0,Spurs
Carl_Jenkinson_9,0,0,0,0,0,9,308,0,0,0,0,2020-06-25T17:00:00Z,0,0,0,0,0,31,0,1575,2,0,0,0,-3,9,12,45,FALSE,0,Southampton
Cenk_Tosun_146,0,0,0,0,0,146,304,0,0,0,0,2020-06-24T19:15:00Z,0,0,0,0,0,31,0,9160,0,4,0,0,-157,8,165,57,FALSE,0,Liverpool
Charlie_Austin_312,0,0,0,0,0,312,308,0,0,0,0,2020-06-25T17:00:00Z,0,0,0,0,0,31,0,3444,2,0,0,0,-12,18,30,60,TRUE,0,Arsenal
Charlie_Daniels_60,0,0,0,0,0,60,310,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,5324,0,1,0,0,-3,24,27,42,FALSE,0,Wolves
Charlie_Taylor_87,0,0,25,1,5.1,87,301,0,0,2.6,21,2020-06-25T17:00:00Z,90,0,0,0,0,31,0,151510,0,1,0,6,5312,15936,10624,43,TRUE,0,Watford
Cheikhou_Kouyaté_139,0,0,11,0,0.8,139,304,3,0,1.2,10.8,2020-06-24T19:15:00Z,65,0,0,0,0,31,0,17944,0,4,0,2,-161,439,600,49,FALSE,0,Liverpool
Che_Adams_437,0,0,0,0,0,437,308,0,0,0,0,2020-06-25T17:00:00Z,0,0,0,0,0,31,0,23737,2,0,0,0,-78,245,323,53,TRUE,0,Arsenal
Christian_Atsu_267,0,0,0,0,0,267,306,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,8281,1,1,0,0,-32,73,105,53,TRUE,0,Aston Villa
