ep_this,second_name,id,element_type,team,web_name,first_name
0.0,Hjelde,243,2,11,Hjelde,Leo Fuhr
2.7,Kristensen,244,2,11,Kristensen,Rasmus
0.3,Roca Junqué,245,3,11,Roca,Marc
1.0,Aaronson,246,3,11,Aaronson,Brenden
0.0,Gyabi,247,3,11,Gyabi,Darko
0.0,Adams,506,3,11,Adams,Tyler
0.0,Sinisterra Lucumí,508,3,11,Sinisterra,Luis
0.0,Drameh,547,2,11,Drameh,Cody
0.0,Gray,565,3,11,Gray,Archie
1.7,Robles,578,1,11,Robles,Joel
0.7,Gnonto,619,4,11,Gnonto,Wilfried
0.0,Fernández,659,4,11,Mateo Joseph,Mateo Joseph
0.0,Perkins,663,4,11,Perkins,Sonny
0.3,Wöber,691,2,11,Wöber,Maximilian
1.3,Rutter,700,4,11,Rutter,Georginio
2.7,McKennie,720,3,11,McKennie,Weston
0.0,Chilokoa-Mullen,742,2,11,Chilokoa-Mullen,Jeremiah
0.0,Pinheiro Monteiro,743,2,11,Monteiro,Diogo
2.3,Milner,274,3,12,Milner,James
3.0,Henderson,275,3,12,Henderson,Jordan
1.0,Matip,276,2,12,Matip,Joel
0.0,Alcántara do Nascimento,277,3,12,Thiago,Thiago
1.0,Oxlade-Chamberlain,278,3,12,Chamberlain,Alex
5.0,Firmino,279,4,12,Firmino,Roberto
3.7,van Dijk,280,2,12,Van Dijk,Virgil
4.7,Ramses Becker,281,1,12,Alisson,Alisson
3.7,Tavares,282,3,12,Fabinho,Fabio Henrique
8.3,Salah,283,3,12,Salah,Mohamed
2.8,Robertson,284,2,12,Robertson,Andrew
7.0,Alexander-Arnold,285,2,12,Alexander-Arnold,Trent
1.0,Gomez,286,2,12,Gomez,Joseph
0.0,Keita,287,3,12,Keita,Naby
6.0,Teixeira da Silva,288,4,12,Diogo Jota,Diogo
1.7,Kelleher,289,1,12,Kelleher,Caoimhin
2.2,Konaté,290,2,12,Konaté,Ibrahima
7.3,Jones,291,3,12,Jones,Curtis
1.0,Tsimikas,292,2,12,Tsimikas,Konstantinos
3.0,Díaz,293,3,12,Luis Díaz,Luis
1.7,Elliott,294,3,12,Elliott,Harvey
1.3,Freitas Gouveia Carvalho,296,3,12,Carvalho,Fábio
0.8,Núñez Ribeiro,297,4,12,Darwin,Darwin
0.0,Ramsay,298,2,12,Ramsay,Calvin
1.0,San Miguel del Castillo,497,1,12,Adrián,Adrián
0.0,Williams,498,2,12,R.Williams,Rhys
0.0,Davies,499,2,12,Davies,Ben
0.0,van den Berg,500,2,12,Van den Berg,Sepp
1.0,Phillips,501,2,12,Phillips,Nathaniel
0.0,Chambers,563,2,12,Chambers,Luke
0.0,Bajcetic,564,3,12,Bajcetic,Stefan
1.0,Clark,584,3,12,Clark,Bobby
1.0,Davies,592,1,12,H.Davies,Harvey
1.0,Ramos de Oliveira Melo,620,3,12,Arthur,Arthur Henrique
1.0,Doak,665,3,12,Doak,Ben
4.7,Gakpo,680,3,12,Gakpo,Cody
5.0,Walker,299,2,13,Walker,Kyle
6.2,Gündogan,300,3,13,Gündogan,Ilkay
1.5,De Bruyne,301,3,13,De Bruyne,Kevin
1.8,Stones,302,2,13,Stones,John
4.2,Mahrez,303,3,13,Mahrez,Riyad
0.9,Grealish,305,3,13,Grealish,Jack
0.0,Cancelo,306,2,13,Cancelo,João
3.8,Santana de Moraes,307,1,13,Ederson,Ederson
1.5,Aké,308,2,13,Aké,Nathan
3.6,Laporte,309,2,13,Laporte,Aymeric
0.0,Steffen,310,1,13,Steffen,Zack
1.5,Veiga de Carvalho e Silva,311,3,13,Bernardo,Bernardo
1.9,Gato Alves Dias,312,2,13,Dias,Rúben
6.0,Foden,314,3,13,Foden,Phil
2.5,Hernandez,315,3,13,Rodri,Rodrigo
3.2,Palmer,316,3,13,Palmer,Cole
0.0,McAtee,317,3,13,McAtee,James
4.2,Haaland,318,4,13,Haaland,Erling
4.2,Álvarez,319,4,13,Álvarez,Julián
0.0,Mbete-Tabu,320,2,13,Mbete,Luke
0.0,Wilson-Esbrand,322,2,13,Wilson-Esbrand,Josh
0.0,Delap,323,4,13,Delap,Liam
5.0,Ortega Moreno,324,1,13,Ortega,Stefan
2.8,Phillips,325,3,13,Phillips,Kalvin
1.0,Carson,502,1,13,Carson,Scott
3.5,Lewis,573,2,13,Lewis,Rico
3.8,Gómez,587,2,13,Sergio Gómez,Sergio
0.0,Gomes,599,3,13,Gomes,Claudio
1.0,Knight,600,3,13,Knight,Ben
2.1,Akanji,610,2,13,Akanji,Manuel
0.0,Perrone,712,3,13,Perrone,Máximo
1.0,Robertson,772,3,13,Robertson,Alex
1.3,Charles,773,3,13,Charles,Shea
1.0,O'Reilly,774,3,13,O'Reilly,Nico
0.0,Butland,162,1,14,Butland,Jack
